Crop_Year,2014,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sum of Production,Column Labels,,,,,,,,,,,,,,,,,,,,
Row Labels,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Jammu and Kashmir ,Karnataka,Kerala,Maharashtra,Meghalaya,Nagaland,Odisha,Punjab,Sikkim,Telangana ,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Grand Total
Sugarcane,10002941,34900,1099134,15498951,76149,49215,1957.5,43838057,25494.4,91538100,338,189330,722890.6,7039000,,3343035,41510,146576786,6108965,2105506,328292259.5
Sunflower,40167,,,16642,1001,,,205664,,42513,,1520,,,,25667,,4352,43,9002,346571
Sweet potato,7428,,32858,,14947,,,57413,5123,,16133,13370,,,,744,,208515,,,356531
Tapioca,,,30090,,,,,6557,2943919,,32551,43860,,,,,,,,,3056977
Tobacco,357812,,139,18669,16,,0.4,67560,21,2100,759,,,,,12509,,131597,10,23828,615020.4
Tomato,830864,,,,,,,,,,,,,,,,,,,,830864
Total foodgrain,,,,,,,,,,,,,,,,,,,3225930,,3225930
Turmeric,143230,3500,15906,,1621,,12.4,76777,6820,,15671,,,,,216236,,4423,1740,,485936.4
Urad,298649,,34237,14355,31301,,4321.1,20802,,,,,27551.7,12100,2914,16338,845,301960,9570,51765,826708.8
Wheat,256,7500,28769,3570211,153321,,,260093,3,1307700,844,5600,656.1,15050000,420,6929,304,20054791,662026,939254,42048677.1
Grand Total,2132286642,481342,15327493,32032883,9621847,383985.8,740942.7,68617321.1,5950761745,108443580.6,852630,1147430,11112420.8,35260381.3,105718,15806094,822366,199476737.5,11873861,43584403,8638739824
